Plot,Jar,Steri,Necro,RecoveryC,RecoveryN,RecCN
P1,,None,Control,51.56136887,54.72943769,2.998276415
P2,,None,Control,75.96933083,75.00546686,3.223395522
P3,,None,Control,50.83033981,47.94457922,3.37405158
P4,,None,Control,56.46211227,64.30985313,2.794137792
P5,,None,Control,75.48716995,80.4844172,2.98489842
P1,,Sterile,Control,78.22500062,63.78379385,3.966740437
P2,,Sterile,Control,67.03637581,72.07640883,3.179271625
P3,,Sterile,Control,67.07754017,59.82324642,3.53444987
P4,,Sterile,Control,92.37906775,81.14661839,3.622814113
P5,,Sterile,Control,70.10722111,66.2279056,3.388778707
P1,,None,Ecoli,56.59628956,64.53249849,2.791114776
P2,,None,Ecoli,72.83965153,92.67828227,2.501255747
P3,,None,Ecoli,93.70171175,89.68635584,3.32498249
P4,,None,Ecoli,85.22972293,104.7620133,2.589139537
P5,,None,Ecoli,76.54410263,83.8031544,2.90682968
P1,,Sterile,Ecoli,96.39281125,92.99375973,3.312567138
P2,,Sterile,Ecoli,60.94062446,50.81972623,3.483481041
P3,,Sterile,Ecoli,101.6407385,85.26353814,3.873741294
P4,,Sterile,Ecoli,79.93481933,63.05670041,4.027385648
P5,,Sterile,Ecoli,90.37538378,71.97169755,3.982323686
P1,,None,Mluteus,92.4345117,105.9380894,2.776835999
P2,,None,Mluteus,59.26618186,69.73294363,2.704812513
P3,,None,Mluteus,48.05165975,49.82157189,3.069440249
P4,,None,Mluteus,87.24618955,81.92118718,3.389365831
P5,,None,Mluteus,79.05953251,76.85258204,3.273889331
P1,,Sterile,Mluteus,58.89625947,57.06267307,3.305650143
P2,,Sterile,Mluteus,89.92681483,114.0507214,3.146216492
P3,,Sterile,Mluteus,90.37294134,83.63425466,3.468488779
P4,,Sterile,Mluteus,91.61800917,75.38770215,3.87349641
P5,,Sterile,Mluteus,97.36901444,75.00247896,3.630822703
P1,,None,Scerevisiae,111.5607473,106.7992707,3.324385228
P2,,None,Scerevisiae,74.38116483,78.45118051,3.017391816
P3,,None,Scerevisiae,67.4642527,56.95846512,3.769499173
P4,,None,Scerevisiae,99.49253081,91.01313481,3.479001539
P5,,None,Scerevisiae,88.22467391,83.30551279,3.032220822
P1,,Sterile,Scerevisiae,97.28058966,82.08285492,3.771915957
P2,,Sterile,Scerevisiae,87.00885516,79.59296771,3.478270024
P3,,Sterile,Scerevisiae,101.5865128,85.24549165,3.774457623
P4,,Sterile,Scerevisiae,107.8374581,97.80557957,3.506333913
P5,,Sterile,Scerevisiae,108.4760255,89.31034983,3.650928845
